"substance" "annee_N_1" "quantite_substance_N_1" "annee" "quantite_substance"
"3171" "phlebiopsis_gigantea" "2012" 0 "2013" 0.02
"318" "phosalone" "2012" 0 "2013" 1.266
"3361" "procymidone" "2012" 0 "2013" 11
"380" "spiromesifen" "2012" 0 "2013" 136.32
"412" "trimethylamine_hydrochloride" "2012" 0 "2013" 5.815445
"43" "azadirachtine" "2013" 0 "2014" 6.125
"471" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387
"65" "bisulfate_de_sodium" "2013" 0 "2014" 882
"73" "bromuconazole" "2013" 0 "2014" 120.79
"81" "carbosulfan" "2013" 0 "2014" 1
"88" "chlorophacinone" "2013" 0 "2014" 0.00225
"1011" "cires_de_petrole" "2013" 0 "2014" 1.92
"181" "fenbutatin_oxyde" "2013" 0 "2014" 0.55
"246" "hypochlorite_de_sodium" "2013" 0 "2014" 29.9
"266" "lecithine_de_soja" "2013" 0 "2014" 35413.42615
"339" "propargite" "2013" 0 "2014" 22.8
"348" "pseudomonas_chlororaphis_souche_ma_342" "2013" 0 "2014" 355.81476
"359" "pyriofenone" "2013" 0 "2014" 4.8
"4" "1-methylcyclopropene_(1-mcp)" "2014" 0 "2015" 4.40538
"253" "acide_decanoique" "2014" 0 "2015" 10.9205712
"27" "acide_octanoique" "2014" 0 "2015" 16.3808568
"31" "adoxophyes_orana_granulovirus" "2014" 0 "2015" 8.52882
"413" "amisulbrom" "2014" 0 "2015" 709.812
"431" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522
"551" "bacillus_thuringiensis_ssp_kurstaki" "2014" 0 "2015" 0.756
"82" "candida_oleophila_souche_o" "2014" 0 "2015" 1.3024
"125" "cyanamide_hydrogene" "2014" 0 "2015" 5.2
"128" "cydia_pomonella_granulovirus" "2014" 0 "2015" 7.2807
"167" "e/z8_acetate_de_dodecenyle" "2014" 0 "2015" 952.7598
"177" "ethoprophos" "2014" 0 "2015" 1.5
"192" "fenpyrazamine" "2014" 0 "2015" 12.25
"279" "mefluidide_(sel_de_diethanolamine)" "2014" 0 "2015" 1.92
"293" "methomyl" "2014" 0 "2015" 8
"297" "metobromuron" "2014" 0 "2015" 6280
"3071" "npv_ha_(nucleopolyhedrovirus_d'helicoverpa_armigera)" "2014" 0 "2015" 0.52005
"319" "penthiopyrad" "2014" 0 "2015" 0.412
"3231" "phosalone" "2014" 0 "2015" 20
"393" "sulfosate" "2014" 0 "2015" 2.1528
"427" "virus_zymv-wk" "2014" 0 "2015" 7.25e-09
"26" "acide_halauxifene" "2015" 0 "2016" 14.166
"651" "benzovindiflupyr" "2015" 0 "2016" 788.32075
"111" "cos-oga" "2015" 0 "2016" 1.5
"1281" "cyhexatin" "2015" 0 "2016" 156.2
"145" "dichlorvos" "2015" 0 "2016" 2
"169" "essence_de_girofle" "2015" 0 "2016" 24.05
"262" "kieselguhr" "2015" 0 "2016" 386.4
"270" "maltodextrine" "2015" 0 "2016" 691.0568
"303" "nucleopolyhedrovirus" "2015" 0 "2016" 0.312
"3081" "oxydemeton-methyl" "2015" 0 "2016" 7.5
"337" "procymidone" "2015" 0 "2016" 2.5
"340" "propachlore" "2015" 0 "2016" 4.8
"397" "terbuthylazine" "2015" 0 "2016" 13.2
"17" "(e)-5-decen-1-yl_acetate" "2016" 0 "2017" 1.5730848
"14" "8-hydroxiquinoline" "2016" 0 "2017" 435
"215" "acetochlore" "2016" 0 "2017" 24
"83" "candida_oleophila_souche_o" "2016" 0 "2017" 0.0407
"90" "cerevisane" "2016" 0 "2017" 8.507581
"113" "colophane_traitee_au_maleate" "2016" 0 "2017" 176.6068535
"148" "dichlormide" "2016" 0 "2017" 4.002
"156" "dimethenamide" "2016" 0 "2017" 11.5
"1671" "e-5-decen-1-ol" "2016" 0 "2017" 0.2776032
"171" "e8,e10-dodecadiene-1-ol_+_tetradecylacetate" "2016" 0 "2017" 3.090528
"183" "eugenol" "2016" 0 "2017" 142.989
"184" "extrait_d'ail" "2016" 0 "2017" 711
"214" "fluquinconazole" "2016" 0 "2017" 0.0167
"229" "geraniol" "2016" 0 "2017" 285.978
"242" "huile_de_paraffine" "2016" 0 "2017" 120
"309" "n-hexadecylacetate" "2016" 0 "2017" 1.2918528
"310" "n-tetradecylacetate_(14ac)" "2016" 0 "2017" 0.598752
"3401" "poix" "2016" 0 "2017" 14.555514
"405" "terebenthine" "2016" 0 "2017" 19.656
"4131" "thiodicarbe" "2016" 0 "2017" 8.8
"416" "thymol" "2016" 0 "2017" 285.978
"434" "z-11-tetradecenyl_acetate" "2016" 0 "2017" 4.583844
"435" "z-9-tetradecenyl_acetate" "2016" 0 "2017" 0.111375
"28" "(e,z)-2,13-octadecadienyl_acetate" "2017" 0 "2018" 67.090137
"3" "(e,z)-3,13-octadecadienyl_acetate" "2017" 0 "2018" 1.646823
"10" "1,4-dimethylnaphtalene" "2017" 0 "2018" 2442.365016
"254" "acide_2,5-dichlorobenzoique" "2017" 0 "2018" 4.1069
"601" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14
"61" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415
"63" "bacillus_thuringiensis_ssp_kurstaki_souche_eg_2348" "2017" 0 "2018" 151.125
"64" "bacillus_thuringiensis_ssp_kurstaki_souche_sa-11" "2017" 0 "2018" 25916.5697
"91" "carbendazime" "2017" 0 "2018" 44.999875
"94" "carbonate_d'ammonium" "2017" 0 "2018" 22.886137982
"1211" "composition_complexe" "2017" 0 "2018" 41.574
"2411" "halosulfuron-methyle" "2017" 0 "2018" 112.725
"2421" "heptamaloxyloglucan" "2017" 0 "2018" 168.35425
"256" "huile_minerale_blanche" "2017" 0 "2018" 15.3596
"274" "isofetamide" "2017" 0 "2018" 62.4
"3211" "nucleopolyhedrovirus" "2017" 0 "2018" 145.6
"343" "phosphure_de_zinc" "2017" 0 "2018" 14.046744
"353" "poudre_de_corne" "2017" 0 "2018" 1.24722
"428" "trichoderma_asperellum_tv1" "2017" 0 "2018" 2.184
"235" "acetochlore" "2018" 0 "2019" 3.2
"29" "acide_blue_9" "2018" 0 "2019" 7.976
"86" "buprofezine" "2018" 0 "2019" 0.022
"146" "di-1-p-menthene" "2018" 0 "2019" 3.57888
"1501" "dichlormide" "2018" 0 "2019" 0.536
"158" "dimethenamide" "2018" 0 "2019" 10
"236" "halauxifen-methyl" "2018" 0 "2019" 845.258625
"3172" "npv_ha_(nucleopolyhedrovirus_d'helicoverpa_armigera)" "2018" 0 "2019" 113.47491
"421" "tolclofos-methyl" "2018" 0 "2019" 12
