"substance" "annee_N_1" "quantite_substance_N_1" "annee.x" "quantite_substance.x" "annee.y" "quantite_substance.y"
"176" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2012" 5161.99887142
"177" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2016" 101985.57193214
"178" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2014" 13163.70184462
"179" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2019" 1643610.1962
"180" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2017" 289705.5326942
"181" "acide_pelargonique" "2011" 0 "2012" 5161.99887142 "2015" 27707.00812832
"182" "acide_phosphoreux" "2009" 0 "2010" 3475.08 "2010" 3475.08
"183" "acide_phosphoreux" "2009" 0 "2010" 3475.08 "2011" 25126.1892
"184" "acide_phosphorique" "2011" 0 "2012" 2.7 "2013" 0.18
"185" "acide_phosphorique" "2011" 0 "2012" 2.7 "2008" 13.05
"186" "acide_phosphorique" "2011" 0 "2012" 2.7 "2009" 4.5
"187" "acide_phosphorique" "2011" 0 "2012" 2.7 "2012" 2.7
"188" "acide_phosphorique" "2011" 0 "2012" 2.7 "2010" 7.2
"189" "adoxophyes_orana_granulovirus" "2014" 0 "2015" 8.52882 "2016" 14.04135
"190" "adoxophyes_orana_granulovirus" "2014" 0 "2015" 8.52882 "2018" 6.03258
"191" "adoxophyes_orana_granulovirus" "2014" 0 "2015" 8.52882 "2019" 5.980575
"192" "adoxophyes_orana_granulovirus" "2014" 0 "2015" 8.52882 "2017" 6.916665
"193" "adoxophyes_orana_granulovirus" "2014" 0 "2015" 8.52882 "2015" 8.52882
"194" "alcool_denature" "2008" 0 "2009" 110.02215 "2011" 44.48955
"195" "alcool_denature" "2008" 0 "2009" 110.02215 "2010" 16.6698
"196" "alcool_denature" "2008" 0 "2009" 110.02215 "2012" 31.9725
"197" "alcool_denature" "2008" 0 "2009" 110.02215 "2009" 110.02215
"198" "ametoctradine" "2010" 0 "2011" 16945.6584 "2018" 134863.85428
"199" "ametoctradine" "2010" 0 "2011" 16945.6584 "2011" 16945.6584
"200" "ametoctradine" "2010" 0 "2011" 16945.6584 "2013" 54283.52496
"201" "ametoctradine" "2010" 0 "2011" 16945.6584 "2014" 59169.487
"202" "ametoctradine" "2010" 0 "2011" 16945.6584 "2012" 38992.6848
"203" "ametoctradine" "2010" 0 "2011" 16945.6584 "2017" 92859.0399
"204" "ametoctradine" "2010" 0 "2011" 16945.6584 "2015" 62846.31998
"205" "ametoctradine" "2010" 0 "2011" 16945.6584 "2016" 101576.72118
"206" "ametoctradine" "2010" 0 "2011" 16945.6584 "2019" 75592.75568
"207" "aminopyralid" "2011" 0 "2012" 0.66 "2016" 8221.3233223
"208" "aminopyralid" "2011" 0 "2012" 0.66 "2015" 8512.30997881
"209" "aminopyralid" "2011" 0 "2012" 0.66 "2014" 6114.05364
"210" "aminopyralid" "2011" 0 "2012" 0.66 "2019" 7038.422632
"211" "aminopyralid" "2011" 0 "2012" 0.66 "2012" 0.66
"212" "aminopyralid" "2011" 0 "2012" 0.66 "2018" 8613.6511325
"213" "aminopyralid" "2011" 0 "2012" 0.66 "2013" 3048.5874
"214" "aminopyralid" "2011" 0 "2012" 0.66 "2017" 8824.52294999
"215" "amisulbrom" "2014" 0 "2015" 709.812 "2017" 2013.102
"216" "amisulbrom" "2014" 0 "2015" 709.812 "2019" 3533.9502
"217" "amisulbrom" "2014" 0 "2015" 709.812 "2015" 709.812
"218" "amisulbrom" "2014" 0 "2015" 709.812 "2016" 3948.1
"219" "amisulbrom" "2014" 0 "2015" 709.812 "2018" 6228.135
"220" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2017" 0.9976
"221" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2018" 0.3886
"222" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2015" 0.522
"223" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2013" 2.958
"224" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2019" 1.6878
"225" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2016" 0.522
"226" "ampelomyces_quisqualis" "2011" 0 "2012" 2.9 "2012" 2.9
"227" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2017" 0.9976
"228" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2018" 0.3886
"229" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2015" 0.522
"230" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2013" 2.958
"231" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2019" 1.6878
"232" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2016" 0.522
"233" "ampelomyces_quisqualis" "2014" 0 "2015" 0.522 "2012" 2.9
"234" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2017" 1168.5035
"235" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2019" 264.35
"236" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2016" 534.85
"237" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2014" 142.595
"238" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2015" 68.15
"239" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2018" 77.125
"240" "aureobasidium_pullulans_souche_dsm_14940" "2012" 0 "2013" 66.75 "2013" 66.75
"241" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2019" 264.35
"242" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2015" 68.15
"243" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2018" 77.125
"244" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2017" 1168.5035
"245" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2014" 142.595
"246" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2013" 66.75
"247" "aureobasidium_pullulans_souche_dsm_14941" "2012" 0 "2013" 66.75 "2016" 534.85
"248" "azadirachtine" "2013" 0 "2014" 6.125 "2017" 83.0256
"249" "azadirachtine" "2013" 0 "2014" 6.125 "2015" 18.581094
"250" "azadirachtine" "2013" 0 "2014" 6.125 "2016" 67.179
"251" "azadirachtine" "2013" 0 "2014" 6.125 "2014" 6.125
"252" "azadirachtine" "2013" 0 "2014" 6.125 "2018" 192.0114
"253" "azadirachtine" "2013" 0 "2014" 6.125 "2019" 339.031
"254" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2017" 1054.79375
"255" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2015" 621
"256" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2014" 298
"257" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2018" 991.27915
"258" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2013" 194.25
"259" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2016" 1422
"260" "bacillus_firmus_i-1582" "2012" 0 "2013" 194.25 "2019" 60.90315
"261" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387 "2014" 14.7604387
"262" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387 "2019" 338.534581
"263" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387 "2016" 1078.3478552
"264" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387 "2017" 746.11695655
"265" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387 "2018" 412.242495
"266" "bacillus_pumilus_souche_qst_2808" "2013" 0 "2014" 14.7604387 "2015" 1011.67963505
"267" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2014" 3764.020185
"268" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2011" 2030.9887
"269" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2012" 3319.949622
"270" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2009" 0
"271" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2010" 0
"272" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2015" 5267.672643
"273" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2017" 4066.711307
"274" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2016" 3930.86651
"275" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2019" 1831.371705
"276" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2008" 0
"277" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2018" 4068.004082
"278" "bacillus_subtilis" "2010" 0 "2011" 2030.9887 "2013" 4586.518114
"279" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2018" 153.2474
"280" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2017" 233.03088
"281" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2013" 599.9116
"282" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2008" 0
"283" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2019" 63.31964
"284" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2015" 256.41742
"285" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2016" 116.39188
"286" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2009" 5796.500796026
"287" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2012" 2830.875275
"288" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2014" 452.868728
"289" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2011" 4087.464568005
"290" "bacillus_thuringiensis_serotype_3a_3b" "2008" 0 "2009" 5796.500796026 "2010" 3837.583096003
"291" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2009" 0
"292" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2017" 0
"293" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2016" 0
"294" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2015" 0
"295" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2014" 0
"296" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2018" 2452.14
"297" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2012" 0
"298" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2013" 0
"299" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2011" 0
"300" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2010" 0
"301" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2019" 3575.934
"302" "bacillus_thuringiensis_serotype_h_7" "2017" 0 "2018" 2452.14 "2008" 0
"303" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2019" 271.77375
"304" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2009" 0
"305" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2013" 0
"306" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2014" 0
"307" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2012" 0
"308" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2011" 0
"309" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2018" 400.4415
"310" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2015" 0
"311" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2017" 0
"312" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2010" 0
"313" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2016" 0
"314" "bacillus_thuringiensis_sp._tenebrionis" "2017" 0 "2018" 400.4415 "2008" 0
"315" "bacillus_thuringiensis_ssp_kurstaki" "2014" 0 "2015" 0.756 "2016" 1539.26946
"316" "bacillus_thuringiensis_ssp_kurstaki" "2014" 0 "2015" 0.756 "2019" 19080.15264
"317" "bacillus_thuringiensis_ssp_kurstaki" "2014" 0 "2015" 0.756 "2018" 19382.459652
